seed,method,phase,average_finish_time,p95_finish_time,waiting_latency,service_latency,cache_hit_rate,cache_remote_loading_rate
57,daoc_paper,tail,0.5478374345225222,0.8135171239563445,0.11482715484874614,1.7830343057736502,0.28989522058823525,0.7101047794117648
57,daoc_paper,evaluation,0.5381898359121311,0.7624202436215044,0.10225203173093105,1.9047749937957936,0.14222784482758621,0.8577721551724138
57,dqn_wdsa_std_cache,tail,0.7075891991289245,1.2786474079575956,0.09372220773500166,2.7250359058103313,0.11542095588235295,0.8845790441176472
57,dqn_wdsa_std_cache,evaluation,0.5848706444071269,0.8254516306816894,0.10324565017015769,2.1900563539438744,0.07195402298850574,0.9280459770114944
57,daoc_our_coord_cache,tail,0.1308914510549996,0.25160007536374335,0.07042657789314126,0.207023565896032,0.6039136029411766,0.39608639705882354
57,daoc_our_coord_cache,evaluation,0.19844544578693285,0.43042448456703225,0.09482225384762634,0.5126124128456307,0.3325835057471264,0.6674164942528736
57,lean_our,tail,0.0981803833700707,0.18985482104293977,0.06900815140741141,0.11313455481129245,0.6553235294117646,0.34467647058823525
57,lean_our,evaluation,0.08860229685073573,0.13908716213178468,0.0723304052472194,0.1393221163079654,0.6727913218390803,0.32720867816091953
57,coord_cache_discrete_sac,tail,0.3604057580741236,0.535344224116847,0.132831946990662,0.7692389908062862,0.17667279411764708,0.823327205882353
57,coord_cache_discrete_sac,evaluation,0.16422274917413468,0.2611941804944836,0.06443654461000026,0.4839008031151852,0.3499875,0.6500125
57,discrete_sac_std_cache,tail,1.115460984798943,2.318852283362141,0.23555110983750432,3.546578681877605,0.16623161764705885,0.8337683823529413
57,discrete_sac_std_cache,evaluation,0.8058958946242346,1.1395008704071368,0.12514884777156132,2.9104744754755982,0.30552281609195403,0.6944771839080461
58,daoc_paper,tail,1.0864874033995473,1.800927644516923,0.11741203538794423,2.889319431052706,0.23355350553505536,0.7664464944649446
58,daoc_paper,evaluation,0.9386817069708,1.1900873181358964,0.10707826190773265,2.652948170043261,0.1028710344827586,0.8971289655172414
58,dqn_wdsa_std_cache,tail,0.918243579091196,1.3015283042857086,0.09012716858976257,3.199730748506762,0.10134870848708488,0.8986512915129152
58,dqn_wdsa_std_cache,evaluation,0.9664449688019648,1.3175515439406669,0.10537017906828215,3.5638820764056542,0.11528770114942528,0.8847122988505748
